#,Title,Acceptance,Difficulty,Frequency
904,,,,,
Fruit Into Baskets,39.80%,Medium,,,
681,,,,,
Next Closest Time,,,,,
41.10%,Medium,,,,
929,,,,,
Unique Email Addresses,79.00%,Easy,,,
482,,,,,
License Key Formatting,39.30%,Easy,,,
159,,,,,
Longest Substring with At Most Two Distinct Characters,,,,,
44.50%,Hard,,,,
683,,,,,
K Empty Slots,,,,,
33.30%,Hard,,,,
399,,,,,
Evaluate Division,44.50%,Medium,,,
844,,,,,
Backspace String Compare,43.30%,Easy,,,
857,,,,,
Minimum Cost to Hire K Workers,44.90%,Hard,,,
843,,,,,
Guess the Word,39.60%,Hard,,,
489,,,,,
Robot Room Cleaner,,,,,
57.70%,Hard,,,,
1,,,,,
Two Sum,39.20%,Easy,,,
833,,,,,
Find And Replace in String,42.20%,Medium,,,
135,,,,,
Candy,26.70%,Hard,,,
803,,,,,
Bricks Falling When Hit,25.10%,Hard,,,
642,,,,,
Design Search Autocomplete System,,,,,
33.20%,Hard,,,,
205,,,,,
Isomorphic Strings,35.90%,Easy,,,
849,,,,,
Maximize Distance to Closest Person,38.70%,Easy,,,
299,,,,,
Bulls and Cows,37.50%,Medium,,,
308,,,,,
Range Sum Query 2D - Mutable,,,,,
29.20%,Hard,,,,
403,,,,,
Frog Jump,34.10%,Hard,,,
777,,,,,
Swap Adjacent in LR String,30.50%,Medium,,,
158,,,,,
Read N Characters Given Read4 II - Call multiple times,,,,,
24.30%,Hard,,,,
900,,,,,
RLE Iterator,44.40%,Medium,,,
562,,,,,
Longest Line of Consecutive One in Matrix,,,,,
41.80%,Medium,,,,
731,,,,,
My Calendar II,40.70%,Medium,,,
753,,,,,
Cracking the Safe,43.20%,Hard,,,
686,,,,,
Repeated String Match,31.30%,Easy,,,
846,,,,,
Hand of Straights,46.10%,Medium,,,
56,,,,,
Merge Intervals,33.60%,Medium,,,
248,,,,,
Strobogrammatic Number III,,,,,
34.00%,Hard,,,,
457,,,,,
Circular Array Loop,25.60%,Medium,,,
528,,,,,
Random Pick with Weight,41.80%,Medium,,,
418,,,,,
Sentence Screen Fitting,,,,,
29.30%,Medium,,,,
818,,,,,
Race Car,31.60%,Hard,,,
222,,,,,
Count Complete Tree Nodes,29.30%,Medium,,,
428,,,,,
Serialize and Deserialize N-ary Tree,,,,,
48.20%,Hard,,,,
815,,,,,
Bus Routes,36.30%,Hard,,,
475,,,,,
Heaters,30.20%,Easy,,,
524,,,,,
Longest Word in Dictionary through Deleting,44.00%,Medium,,,
734,,,,,
Sentence Similarity,,,,,
39.00%,Easy,,,,
375,,,,,
Guess Number Higher or Lower II,36.60%,Medium,,,
911,,,,,
Online Election,43.50%,Medium,,,
200,,,,,
Number of Islands,38.70%,Medium,,,
407,,,,,
Trapping Rain Water II,38.20%,Hard,,,
750,,,,,
Number Of Corner Rectangles,,,,,
61.10%,Medium,,,,
679,,,,,
24 Game,40.00%,Hard,,,
850,,,,,
Rectangle Area II,41.80%,Hard,,,
727,,,,,
Minimum Window Subsequence,,,,,
33.70%,Hard,,,,
568,,,,,
Maximum Vacation Days,,,,,
36.50%,Hard,,,,
340,,,,,
Longest Substring with At Most K Distinct Characters,,,,,
38.50%,Hard,,,,
329,,,,,
Longest Increasing Path in a Matrix,38.30%,Hard,,,
684,,,,,
Redundant Connection,47.90%,Medium,,,
307,,,,,
Range Sum Query - Mutable,25.60%,Medium,,,
766,,,,,
Toeplitz Matrix,59.80%,Easy,,,
636,,,,,
Exclusive Time of Functions,46.40%,Medium,,,
85,,,,,
Maximal Rectangle,31.30%,Hard,,,
163,,,,,
Missing Ranges,,,,,
22.80%,Medium,,,,
424,,,,,
Longest Repeating Character Replacement,43.00%,Medium,,,
774,,,,,
Minimize Max Distance to Gas Station,,,,,
37.20%,Hard,,,,
247,,,,,
Strobogrammatic Number II,,,,,
42.50%,Medium,,,,
353,,,,,
Design Snake Game,,,,,
28.60%,Medium,,,,
380,,,,,
Insert Delete GetRandom O(1),41.00%,Medium,,,
800,,,,,
Similar RGB Color,,,,,
56.30%,Easy,,,,
208,,,,,
Implement Trie (Prefix Tree),34.60%,Medium,,,
150,,,,,
Evaluate Reverse Polish Notation,30.30%,Medium,,,
228,,,,,
Summary Ranges,34.10%,Medium,,,
736,,,,,
Parse Lisp Expression,41.40%,Hard,,,
317,,,,,
Shortest Distance from All Buildings,,,,,
35.70%,Hard,,,,
447,,,,,
Number of Boomerangs,48.20%,Easy,,,
465,,,,,
Optimal Account Balancing,,,,,
40.80%,Hard,,,,
166,,,,,
Fraction to Recurring Decimal,18.70%,Medium,,,
659,,,,,
Split Array into Consecutive Subsequences,38.10%,Medium,,,
288,,,,,
Unique Word Abbreviation,,,,,
19.00%,Medium,,,,
776,,,,,
Split BST,,,,,
50.70%,Medium,,,,
146,,,,,
LRU Cache,22.30%,Hard,,,
68,,,,,
Text Justification,21.50%,Hard,,,
54,,,,,
Spiral Matrix,28.60%,Medium,,,
855,,,,,
Exam Room,33.90%,Medium,,,
853,,,,,
Car Fleet,35.50%,Medium,,,
544,,,,,
Output Contest Matches,,,,,
71.70%,Medium,,,,
787,,,,,
Cheapest Flights Within K Stops,31.60%,Medium,,,
370,,,,,
Range Addition,,,,,
59.00%,Medium,,,,
127,,,,,
Word Ladder,21.70%,Medium,,,
549,,,,,
Binary Tree Longest Consecutive Sequence II,,,,,
43.10%,Medium,,,,
527,,,,,
Word Abbreviation,,,,,
45.60%,Hard,,,,
809,,,,,
Expressive Words,39.60%,Medium,,,
265,,,,,
Paint House II,,,,,
39.90%,Hard,,,,
157,,,,,
Read N Characters Given Read4,,,,,
27.90%,Easy,,,,
737,,,,,
Sentence Similarity II,,,,,
41.00%,Medium,,,,
133,,,,,
Clone Graph,25.10%,Medium,,,
271,,,,,
Encode and Decode Strings,,,,,
